fault_type,task_id,seed,condition,gpt54_success,deepseek_v4_pro_success,success_delta_deepseek_minus_gpt54,gpt54_evaluator_status,deepseek_evaluator_status
web_dom_missing,27,1,control,True,True,0,success,success
web_dom_missing,27,1,fault,True,True,0,success,success
web_dom_missing,27,2,control,True,True,0,success,success
web_dom_missing,27,2,fault,True,True,0,success,success
web_dom_missing,27,3,control,True,True,0,success,success
web_dom_missing,27,3,fault,True,True,0,success,success
web_dom_missing,27,4,control,True,True,0,success,success
web_dom_missing,27,4,fault,True,True,0,success,success
web_dom_missing,27,5,control,True,True,0,success,success
web_dom_missing,27,5,fault,True,True,0,success,success
web_dom_missing,30,1,control,True,True,0,success,success
web_dom_missing,30,1,fault,True,True,0,success,success
web_dom_missing,30,2,control,True,True,0,success,success
web_dom_missing,30,2,fault,True,True,0,success,success
web_dom_missing,30,3,control,True,True,0,success,success
web_dom_missing,30,3,fault,True,True,0,success,success
web_dom_missing,30,4,control,True,True,0,success,success
web_dom_missing,30,4,fault,True,True,0,success,success
web_dom_missing,30,5,control,True,True,0,success,success
web_dom_missing,30,5,fault,True,True,0,success,success
web_dom_missing,132,1,control,True,True,0,success,success
web_dom_missing,132,1,fault,False,True,1,failure,success
web_dom_missing,132,2,control,False,True,1,failure,success
web_dom_missing,132,2,fault,True,True,0,success,success
web_dom_missing,132,3,control,True,True,0,success,success
web_dom_missing,132,3,fault,False,True,1,failure,success
web_dom_missing,132,4,control,True,True,0,success,success
web_dom_missing,132,4,fault,True,True,0,success,success
web_dom_missing,132,5,control,True,True,0,success,success
web_dom_missing,132,5,fault,True,True,0,success,success
web_http_error,27,1,control,True,True,0,success,success
web_http_error,27,1,fault,True,True,0,success,success
web_http_error,27,2,control,True,True,0,success,success
web_http_error,27,2,fault,True,True,0,success,success
web_http_error,27,3,control,True,True,0,success,success
web_http_error,27,3,fault,True,True,0,success,success
web_http_error,27,4,control,True,True,0,success,success
web_http_error,27,4,fault,True,True,0,success,success
web_http_error,27,5,control,True,True,0,success,success
web_http_error,27,5,fault,True,True,0,success,success
web_http_error,30,1,control,True,True,0,success,success
web_http_error,30,1,fault,True,True,0,success,success
web_http_error,30,2,control,True,True,0,success,success
web_http_error,30,2,fault,True,True,0,success,success
web_http_error,30,3,control,True,True,0,success,success
web_http_error,30,3,fault,True,True,0,success,success
web_http_error,30,4,control,True,True,0,success,success
web_http_error,30,4,fault,True,True,0,success,success
web_http_error,30,5,control,True,True,0,success,success
web_http_error,30,5,fault,True,True,0,success,success
web_http_error,132,1,control,True,True,0,success,success
web_http_error,132,1,fault,False,False,0,failure,failure
web_http_error,132,2,control,True,True,0,success,success
web_http_error,132,2,fault,False,True,1,failure,success
web_http_error,132,3,control,False,True,1,failure,success
web_http_error,132,3,fault,False,True,1,failure,success
web_http_error,132,4,control,True,True,0,success,success
web_http_error,132,4,fault,False,True,1,failure,success
web_http_error,132,5,control,True,True,0,success,success
web_http_error,132,5,fault,True,True,0,success,success
